Loc,MinT,MaxT,Rain,WDir,WSpeed,WDir9,WDir3,WSpeed9,WSpeed3,Hum9,Hum3,Press9,Press3,Temp9,Temp3,Rtod,RTom
0,5.1,22.7,0.0,4,19,15,7,4,6,78,38,1026.6,1023.7,12.2,22.0,0,0
0,10.5,22.6,0.0,12,52,13,15,22,30,44,30,1007.7,1007.0,14.4,20.5,0,0
0,4.1,11.9,1.4,14,50,13,13,17,17,86,60,1020.0,1020.7,6.1,11.1,1,0
0,3.0,15.6,0.0,13,20,0,0,6,9,83,61,1022.5,1019.3,7.0,14.7,0,0
0,5.4,14.6,0.0,13,39,14,14,11,22,65,49,1016.0,1015.1,10.4,13.5,0,0
0,4.8,21.1,0.0,4,37,9,4,13,15,61,47,1028.2,1025.1,13.7,20.8,0,0
0,16.5,36.5,0.0,15,30,0,13,7,13,55,26,1018.6,1014.9,24.7,34.4,0,0
0,10.0,23.2,0.0,14,39,15,14,7,19,59,27,1017.1,1015.8,15.0,22.6,0,0
0,17.5,32.0,0.0,7,37,9,6,6,13,53,37,1008.3,1007.1,23.3,28.9,0,0
0,11.9,22.6,0.0,5,28,0,5,4,11,79,51,1027.8,1024.5,17.0,21.7,0,0
0,6.0,18.7,0.4,13,31,0,14,7,17,88,47,1017.1,1014.8,11.4,18.2,0,0
0,5.4,20.8,0.0,3,17,11,2,2,4,83,49,1025.7,1023.6,9.9,19.7,0,0
0,8.8,21.9,0.0,13,39,8,14,2,20,78,34,1013.3,1011.6,12.2,20.5,0,0
0,12.6,21.0,3.6,12,44,13,11,24,20,65,43,1001.2,1001.8,15.8,19.8,1,0
0,5.2,23.1,0.0,3,28,0,3,6,9,78,38,1016.3,1010.9,12.0,21.9,0,0
0,8.4,29.4,0.0,14,65,9,7,6,30,50,24,1009.4,1004.5,18.7,28.9,0,0
0,10.6,24.0,0.2,14,31,0,7,6,13,68,44,1009.0,1007.4,18.0,23.7,0,0
0,16.1,32.6,0.2,14,41,1,6,2,19,76,35,1017.0,1014.4,21.6,32.6,0,0
0,5.7,13.8,5.4,5,19,1,8,7,7,98,76,1022.2,1020.2,8.9,13.6,1,0
0,16.1,38.9,0.0,13,57,0,13,6,30,34,12,1007.0,1002.7,25.2,38.4,0,0
0,12.5,26.1,0.2,13,31,13,10,15,11,56,34,1017.3,1016.7,15.2,24.3,0,0
0,12.2,26.3,0.0,9,24,10,10,6,7,75,37,1030.0,1026.0,15.6,24.8,0,0
0,9.4,25.9,0.0,12,28,2,9,6,11,71,37,1018.4,1015.7,16.6,24.2,0,0
0,8.5,25.0,0.0,7,43,0,8,11,9,54,36,1018.9,1014.4,16.4,22.6,0,0
0,21.8,31.2,0.0,8,22,7,10,11,13,57,39,1012.1,1009.1,24.9,29.9,0,0
0,6.4,14.8,0.0,13,43,13,15,24,20,81,56,1015.9,1016.2,9.2,13.6,0,0
0,7.6,18.3,6.6,10,30,8,10,6,20,81,52,1013.6,1013.2,11.1,17.5,1,0
0,7.8,22.9,0.0,10,20,9,4,6,9,84,60,1024.3,1019.7,12.1,21.3,0,0
0,28.3,40.2,0.0,7,52,3,13,9,22,20,19,1007.0,1006.5,34.5,38.5,0,0
0,22.5,40.9,0.0,6,54,9,6,7,30,43,15,1012.2,1008.1,28.3,40.1,0,0
0,9.9,21.2,1.6,15,41,15,13,15,19,68,48,1010.5,1011.5,14.3,19.3,1,0
0,20.3,38.5,0.0,5,28,9,12,4,9,50,23,1019.3,1016.5,25.9,37.5,0,0
0,9.1,27.2,0.0,2,24,2,10,9,13,61,35,1017.6,1013.9,16.7,23.6,0,0
0,6.5,14.5,5.2,13,35,13,15,19,22,81,61,1021.3,1021.5,11.6,12.7,1,0
0,6.9,14.3,4.8,13,24,10,7,6,13,99,74,1011.5,1010.0,9.1,13.0,1,0
0,17.2,31.1,0.0,0,35,9,2,17,11,43,22,1017.7,1013.8,21.4,29.5,0,0
0,5.3,21.1,0.0,5,19,0,5,2,11,73,57,1022.4,1020.5,12.6,20.3,0,0
0,3.5,12.8,0.0,9,17,8,2,7,11,98,63,1029.4,1027.2,5.9,11.7,0,0
0,4.8,24.6,0.0,11,20,0,12,6,9,65,37,1034.4,1030.5,14.9,24.5,0,0
0,14.9,28.5,0.0,9,35,9,8,19,11,52,38,1013.9,1010.3,18.8,26.7,0,0
0,8.1,18.0,11.4,14,26,13,14,7,17,100,71,1025.0,1024.7,11.3,17.4,1,0
0,0.1,15.7,0.0,13,17,0,13,7,9,99,61,1035.5,1032.0,4.1,15.2,0,0
0,10.8,29.0,0.0,3,30,9,4,9,11,76,43,1023.9,1018.7,17.0,27.4,0,0
0,18.1,30.1,0.0,3,35,5,5,20,11,46,31,1021.8,1018.8,24.0,29.5,0,0
0,18.5,29.5,0.0,13,41,13,14,17,26,57,28,1009.2,1008.7,23.5,28.8,0,0
0,10.0,30.5,0.0,1,28,2,3,7,6,67,20,1020.1,1015.4,17.7,29.7,0,0
0,13.7,26.2,0.0,2,30,10,10,17,15,66,48,1022.1,1018.3,19.7,26.0,0,0
0,7.7,23.0,0.0,6,24,8,7,4,17,90,45,1023.0,1020.6,11.1,22.3,0,0
0,5.7,25.7,0.0,15,20,10,10,4,11,63,42,1030.1,1026.1,14.1,24.9,0,0
0,16.8,37.2,0.0,13,31,0,14,4,11,48,10,1018.1,1015.9,23.9,36.4,0,0
0,2.9,14.6,1.4,0,20,1,0,2,15,99,72,1020.3,1016.0,8.5,14.3,1,0
0,14.2,31.5,0.0,13,46,4,13,4,31,54,21,1013.9,1010.4,22.5,29.9,0,0
0,13.9,30.8,0.0,4,31,9,1,15,9,47,33,1022.3,1018.2,20.6,29.4,0,0
0,4.2,13.6,3.2,14,37,13,14,20,19,73,57,1018.2,1019.7,9.8,12.8,1,0
0,11.5,29.7,0.0,14,63,10,13,6,39,51,86,1003.3,1000.5,21.7,16.4,0,0
0,10.1,22.5,0.0,13,41,15,13,19,20,62,40,1015.2,1015.2,13.6,21.7,0,0
0,13.7,29.9,0.0,7,31,2,5,7,19,77,45,1019.2,1016.1,18.4,28.0,0,0
0,13.9,22.8,34.8,13,61,14,13,24,22,87,38,1011.7,1015.5,15.9,21.6,1,0
0,3.6,15.1,0.0,14,28,9,13,4,17,86,61,1018.4,1015.7,7.5,14.6,0,0
0,5.8,19.0,0.0,15,46,9,9,19,7,76,50,1014.7,1010.3,12.2,18.1,0,0
0,17.1,31.3,0.0,3,33,10,7,17,7,56,34,1014.7,1011.9,20.0,29.4,0,0
0,14.0,30.7,0.0,9,30,10,3,11,11,67,35,1019.8,1015.4,21.2,28.9,0,0
0,17.1,39.0,0.0,2,46,4,5,11,7,46,17,1017.6,1013.8,26.4,36.9,0,0
0,12.5,28.4,0.0,4,37,10,8,20,9,38,16,1017.8,1013.7,17.2,26.6,0,0
0,12.9,32.2,0.0,14,43,9,7,9,22,56,14,1007.9,1004.4,22.0,31.0,0,0
0,8.4,26.8,0.0,14,35,13,15,15,7,59,33,1018.7,1016.5,14.3,24.7,0,0
0,17.2,36.3,0.0,6,33,9,4,11,13,51,20,1015.6,1011.4,24.2,34.4,0,0
0,2.3,15.1,1.2,12,52,9,15,7,11,83,49,1026.2,1024.3,8.0,14.7,1,0
0,11.5,25.0,0.0,9,30,10,0,19,13,58,30,1020.6,1019.4,15.6,24.9,0,0
0,8.2,22.1,0.0,14,28,8,13,4,7,72,46,1008.7,1006.1,12.6,21.5,0,0
0,12.5,24.2,1.2,14,50,15,12,11,22,78,70,1005.6,1003.4,12.5,18.2,1,0
0,5.5,14.2,0.0,15,43,14,14,17,19,82,64,1018.3,1015.8,9.8,13.4,0,0
0,0.0,14.8,0.0,4,11,8,9,2,6,100,64,1028.2,1025.2,3.0,12.5,0,0
0,16.9,26.6,0.4,9,50,9,9,26,28,49,31,1016.3,1015.8,19.7,25.2,0,0
0,8.7,26.8,0.0,10,26,10,1,13,11,53,26,1022.4,1019.3,12.7,24.3,0,0
0,11.4,22.2,0.0,13,46,13,15,11,28,64,51,1013.9,1011.1,14.9,21.2,0,0
0,9.4,27.9,0.0,15,26,9,9,6,11,57,22,1017.4,1014.4,17.9,26.1,0,0
0,9.8,15.8,10.6,13,44,13,13,11,31,94,73,1020.7,1017.9,10.7,12.3,1,0
0,5.1,17.0,1.0,13,52,13,14,15,17,67,41,1015.9,1014.7,9.0,14.8,0,0
0,3.7,20.3,0.0,4,37,2,4,6,22,73,47,1026.7,1019.7,12.0,19.7,0,0
0,16.5,27.7,0.0,14,50,1,14,11,28,66,61,1007.9,1004.2,20.9,25.4,0,0
0,4.6,19.9,0.0,12,19,11,13,4,11,82,49,1023.8,1021.1,10.1,19.5,0,0
0,16.1,30.7,0.0,5,26,5,12,17,6,51,42,1012.7,1010.1,23.4,29.3,0,0
0,9.7,26.0,0.2,15,35,9,7,4,17,62,34,1019.9,1017.2,16.3,24.7,0,0
0,0.4,17.5,0.0,15,17,3,7,2,6,84,52,1027.0,1024.1,7.5,17.2,0,0
0,13.9,31.2,0.0,12,31,2,8,9,7,67,32,1013.3,1010.8,21.1,30.4,0,0
0,6.8,17.3,0.0,13,30,15,13,11,15,73,54,1025.3,1023.6,11.1,17.1,0,0
0,9.0,24.2,0.0,13,28,11,14,4,9,79,38,1018.5,1016.2,13.3,22.9,0,0
0,13.3,25.1,0.0,15,52,15,7,20,22,46,27,1002.4,1002.1,17.0,23.9,0,0
0,16.7,34.3,0.0,13,24,10,2,6,6,57,28,1021.5,1017.8,22.0,32.6,0,0
0,18.6,28.5,0.0,1,39,9,0,13,13,56,47,1015.3,1013.1,21.7,26.0,0,0
0,-0.3,14.4,0.2,3,17,5,12,4,6,88,52,1022.4,1020.6,4.5,14.2,0,0
0,16.9,25.4,14.2,12,41,13,12,20,26,62,37,1007.8,1009.3,18.9,23.8,1,0
0,12.1,18.6,4.4,13,46,10,13,11,26,75,65,1015.0,1011.4,14.3,17.1,1,0
0,5.3,20.6,0.0,13,26,2,14,9,17,82,51,1022.3,1020.0,12.4,20.1,0,0
0,5.7,22.4,0.0,6,35,9,5,9,17,82,42,1022.4,1017.3,12.7,21.3,0,0
0,5.0,13.5,1.6,7,20,8,8,4,4,99,61,1018.8,1017.8,7.7,13.4,1,0
0,13.0,29.1,0.0,10,50,4,13,15,9,44,32,1018.5,1012.6,19.8,26.8,0,0
0,9.9,28.3,0.0,14,31,10,15,7,19,62,31,1016.4,1013.3,16.6,26.5,0,0
0,5.7,15.4,0.4,13,20,8,13,2,13,100,63,1023.5,1022.2,7.0,15.0,0,0
0,7.0,14.2,0.8,15,31,14,13,15,19,85,50,1020.7,1020.5,10.2,13.8,0,0
0,13.7,29.1,0.0,15,22,9,8,11,11,75,46,1022.8,1019.5,19.1,28.4,0,0
0,16.0,29.0,0.0,15,33,9,13,6,20,82,46,1023.0,1022.8,19.1,25.3,0,0
0,16.7,35.1,0.0,15,43,0,12,2,28,49,18,1018.9,1014.8,24.7,34.6,0,0
0,5.9,10.8,0.0,13,22,14,14,9,11,85,79,1027.6,1026.1,8.1,10.5,0,0
0,6.6,11.6,10.6,6,65,7,14,11,28,93,58,1002.0,1003.9,6.8,10.3,1,0
0,17.9,21.3,0.0,13,63,13,13,37,28,48,24,1004.0,1008.2,18.7,19.9,0,0
0,9.6,29.3,0.0,11,24,10,12,13,9,43,24,1026.1,1022.4,17.7,27.0,0,0
0,-1.7,15.1,0.0,15,20,10,14,4,7,93,56,1027.4,1026.4,2.2,14.1,0,0
0,9.1,18.3,4.8,14,33,14,14,15,7,78,53,1019.3,1018.5,14.2,18.1,1,0
0,5.1,19.9,0.2,7,19,9,10,9,7,90,51,1018.6,1013.6,11.5,19.0,0,0
0,1.7,14.6,1.0,9,13,0,4,2,9,100,65,1031.3,1029.3,7.2,13.4,0,0
0,16.4,28.0,0.0,9,35,9,2,20,20,46,31,1017.4,1015.7,20.9,26.6,0,0
0,11.1,29.2,0.0,15,37,10,15,2,20,45,23,1016.2,1014.2,19.1,27.7,0,0
0,6.9,19.3,0.8,9,28,10,9,11,19,88,49,1021.0,1020.7,8.2,19.1,0,0
0,23.5,32.1,0.0,14,35,14,14,17,20,59,24,1009.5,1009.6,26.0,29.5,0,0
0,7.5,13.4,0.0,15,54,13,13,20,28,64,49,1019.2,1017.0,10.2,13.1,0,0
0,13.1,25.6,0.0,14,33,10,11,17,17,37,27,1008.6,1008.6,19.1,25.0,0,0
0,16.6,26.8,0.0,14,43,14,13,24,22,57,31,1013.3,1014.2,18.7,25.7,0,0
0,9.1,24.6,0.0,8,24,2,8,7,6,63,37,1019.3,1016.9,16.8,24.1,0,0
0,3.1,20.3,0.0,13,30,10,9,13,15,46,33,1026.0,1024.6,11.9,19.0,0,0
0,4.7,13.4,0.2,7,37,13,14,13,17,81,57,1021.1,1021.2,8.5,11.7,0,0
0,7.9,20.7,0.0,15,48,13,15,6,26,72,35,1015.5,1014.3,15.3,20.1,0,0
0,11.2,32.2,0.0,5,31,9,10,9,11,48,24,1007.8,1006.0,20.1,29.5,0,0
0,2.6,15.9,3.2,14,35,8,14,7,13,88,54,1020.2,1019.2,8.4,15.8,1,0
0,10.4,22.1,0.4,13,39,9,0,9,26,87,50,1018.0,1010.6,14.0,21.4,0,0
0,5.3,12.0,11.0,14,43,14,7,15,20,86,66,1016.1,1015.2,7.1,11.7,1,0
0,9.6,27.9,0.0,13,41,8,1,9,6,63,18,1020.9,1015.5,15.7,27.0,0,0
0,3.7,21.1,0.0,14,30,2,13,2,13,65,38,1028.0,1026.6,13.2,20.5,0,0
0,2.5,20.1,0.0,5,30,2,8,2,6,81,42,1024.5,1020.9,9.3,18.2,0,0
0,10.4,15.8,3.0,14,59,13,15,28,26,75,55,1018.6,1018.5,13.5,14.9,1,0
0,11.0,30.2,0.0,10,24,0,10,7,11,54,20,1017.0,1014.7,17.6,28.8,0,0
0,1.4,10.3,0.0,9,20,6,0,4,6,98,86,1017.5,1015.0,5.5,9.9,0,0
0,0.9,15.2,0.0,0,13,5,13,6,4,90,58,1038.2,1035.2,6.6,14.5,0,0
0,2.1,15.0,0.0,14,30,2,7,4,11,81,54,1019.5,1017.9,8.6,14.9,0,0
0,12.9,28.5,0.0,4,31,12,12,7,7,68,31,1020.4,1016.5,17.4,27.1,0,0
0,5.3,14.9,1.0,10,15,8,2,9,4,100,55,1018.1,1015.8,6.9,14.3,0,0
0,6.3,12.9,0.0,14,39,14,13,17,19,86,68,1018.7,1017.8,7.0,12.0,0,0
0,15.9,28.1,0.2,12,33,10,2,9,7,71,52,1013.3,1013.4,19.5,26.3,0,0
0,0.8,11.3,0.0,9,13,9,1,9,7,100,73,1031.1,1028.4,4.0,11.1,0,0
0,11.5,26.7,0.0,2,48,10,9,24,24,50,30,1010.7,1009.3,19.4,25.2,0,0
0,11.5,31.6,0.0,14,26,10,12,13,13,62,25,1015.8,1013.4,18.0,28.5,0,0
0,20.1,34.2,0.0,13,39,1,15,2,19,72,17,1008.2,1006.6,25.9,33.1,0,0
0,10.6,22.0,0.0,8,13,10,3,4,6,86,57,1022.7,1020.6,13.5,21.1,0,0
0,6.1,19.3,0.0,2,13,2,9,2,9,100,66,1031.5,1029.1,8.8,18.2,0,0
0,10.5,32.6,0.0,13,31,8,8,9,15,58,22,1016.5,1012.6,19.8,30.5,0,0
0,10.3,27.1,0.0,14,24,0,11,6,6,72,38,1024.8,1020.6,16.8,26.0,0,0
0,1.1,16.6,0.0,9,17,5,9,7,9,100,53,1030.5,1028.2,5.3,15.7,0,0
0,14.9,27.3,0.0,10,41,10,9,20,13,50,30,1011.6,1008.5,17.4,25.8,0,0
0,15.2,29.4,0.0,14,26,9,15,15,13,50,40,1012.7,1010.2,20.0,26.6,0,0
0,18.9,30.4,0.0,1,43,9,4,11,19,63,38,1012.7,1008.9,23.3,29.3,0,0
0,17.8,37.4,0.0,5,35,0,0,19,17,56,35,1012.4,1008.4,27.5,35.4,0,0
0,8.6,28.2,0.0,14,26,4,15,7,11,70,26,1025.1,1022.0,12.5,26.3,0,0
0,13.4,30.4,0.0,3,30,10,2,17,6,48,22,1011.8,1008.7,20.4,28.8,0,1
0,15.9,21.7,2.2,5,31,4,1,15,13,89,91,1010.5,1004.2,15.9,17.0,1,1
0,14.1,20.9,0.0,1,22,11,0,11,9,69,82,1012.2,1010.4,17.2,18.1,0,1
0,13.5,22.9,16.8,13,63,3,14,6,20,80,65,1005.8,1002.2,18.0,21.5,1,1
0,19.7,27.2,0.0,14,46,7,15,19,30,49,22,1004.8,1004.2,21.6,26.1,0,1
0,20.9,25.7,0.0,13,37,1,8,11,9,52,90,1019.5,1018.9,22.2,18.8,0,1
0,16.4,27.0,3.0,12,69,0,3,9,22,82,74,1012.7,1008.0,19.9,19.7,1,1
0,15.4,22.3,0.4,1,30,10,10,11,9,69,78,1017.4,1019.2,18.3,19.6,0,1
0,18.4,28.1,8.6,13,98,0,5,7,17,92,49,1018.8,1012.9,19.0,27.4,1,1
0,11.6,26.7,0.0,13,48,9,4,6,11,59,42,1021.5,1017.7,16.4,24.3,0,1
0,13.0,24.9,8.4,13,46,8,0,6,11,75,47,1024.4,1020.3,18.0,24.4,1,1
0,10.6,16.2,0.0,14,39,2,5,7,4,74,86,1008.9,1002.4,14.9,15.1,0,1
0,12.9,15.8,20.0,13,70,14,6,19,15,83,89,1004.8,1000.9,13.3,14.5,1,1
0,8.6,12.9,21.0,6,63,7,14,26,31,77,62,1004.0,1003.3,9.5,11.6,1,1
0,4.5,11.5,3.2,7,26,3,6,9,13,82,79,1013.8,1013.5,7.6,9.4,1,1
